# Species-aware BUSCO lineage (W2.3). After the identification call, stage 08b re-runs
# BUSCO/compleasm with the most specific OrthoDB v10 lineage that matches the species call:
# an exact species match wins, then the genus, else fungi_odb10 (the lineage of the early QC).
# Columns: taxon (genus or "Genus species"), lineage (BUSCO v5 odb10 name), rank.
# Lineages must be staged under <data_dir>/busco (bin/fetch_references.sh busco); a lineage
# that is not staged makes the stage record `skipped`, it never downloads at run time.
taxon	lineage	rank
Aspergillus	eurotiales_odb10	genus
Penicillium	eurotiales_odb10	genus
Talaromyces	eurotiales_odb10	genus
Paecilomyces	eurotiales_odb10	genus
Rasamsonia	eurotiales_odb10	genus
Candida	saccharomycetes_odb10	genus
Candidozyma	saccharomycetes_odb10	genus
Nakaseomyces	saccharomycetes_odb10	genus
Pichia	saccharomycetes_odb10	genus
Saccharomyces	saccharomycetes_odb10	genus
Kluyveromyces	saccharomycetes_odb10	genus
Debaryomyces	saccharomycetes_odb10	genus
Meyerozyma	saccharomycetes_odb10	genus
Clavispora	saccharomycetes_odb10	genus
Yarrowia	saccharomycetes_odb10	genus
Wickerhamomyces	saccharomycetes_odb10	genus
Kodamaea	saccharomycetes_odb10	genus
Lodderomyces	saccharomycetes_odb10	genus
Diutina	saccharomycetes_odb10	genus
Cryptococcus	tremellomycetes_odb10	genus
Naganishia	tremellomycetes_odb10	genus
Papiliotrema	tremellomycetes_odb10	genus
Trichosporon	tremellomycetes_odb10	genus
Cutaneotrichosporon	tremellomycetes_odb10	genus
Apiotrichum	tremellomycetes_odb10	genus
Rhodotorula	microbotryomycetes_odb10	genus
Malassezia	basidiomycota_odb10	genus
Fusarium	hypocreales_odb10	genus
Trichoderma	hypocreales_odb10	genus
Purpureocillium	hypocreales_odb10	genus
Beauveria	hypocreales_odb10	genus
Metarhizium	hypocreales_odb10	genus
Scedosporium	sordariomycetes_odb10	genus
Lomentospora	sordariomycetes_odb10	genus
Sporothrix	sordariomycetes_odb10	genus
Neurospora	sordariomycetes_odb10	genus
Chaetomium	sordariomycetes_odb10	genus
Colletotrichum	glomerellales_odb10	genus
Exophiala	chaetothyriales_odb10	genus
Cladophialophora	chaetothyriales_odb10	genus
Fonsecaea	chaetothyriales_odb10	genus
Phialophora	chaetothyriales_odb10	genus
Alternaria	pleosporales_odb10	genus
Curvularia	pleosporales_odb10	genus
Bipolaris	pleosporales_odb10	genus
Stemphylium	pleosporales_odb10	genus
Cladosporium	capnodiales_odb10	genus
Aureobasidium	dothideomycetes_odb10	genus
Histoplasma	onygenales_odb10	genus
Blastomyces	onygenales_odb10	genus
Coccidioides	onygenales_odb10	genus
Paracoccidioides	onygenales_odb10	genus
Emergomyces	onygenales_odb10	genus
Trichophyton	onygenales_odb10	genus
Microsporum	onygenales_odb10	genus
Nannizzia	onygenales_odb10	genus
Epidermophyton	onygenales_odb10	genus
Botrytis	helotiales_odb10	genus
Sclerotinia	helotiales_odb10	genus
Mucor	mucorales_odb10	genus
Rhizopus	mucorales_odb10	genus
Lichtheimia	mucorales_odb10	genus
Rhizomucor	mucorales_odb10	genus
Cunninghamella	mucorales_odb10	genus
Apophysomyces	mucorales_odb10	genus
Saksenaea	mucorales_odb10	genus
Pneumocystis	ascomycota_odb10	genus
Schizosaccharomyces	ascomycota_odb10	genus
Ustilago	ustilaginomycetes_odb10	genus
Agaricus	agaricales_odb10	genus
Pleurotus	agaricales_odb10	genus
Schizophyllum	agaricomycetes_odb10	genus
Ganoderma	polyporales_odb10	genus
